CHNO benson increments,CHNO benson value in kJ/mol
C-(H)3(N),-42
C-(H)2(C)(N),-23
C-(H)(C)2(N),-18
C-(C)3(N),-13
C-(H)2(CB)(N),-26
C-(H)(C)(CB)(N),-15
C-(C)2(CB)(N),-6
Cd-(H)(N),36
Cd-(C)(N),41
CB-(N),25
CB-(NI)(H),10
CB-(NI)(CB),15
CB-(NI)(C),12
CB-(NI)(O),-18
CB-(NI)(N),1
CB-(NI)(CO),7
CdN-(H)2,28
CdN-(C)2,22
CdN-(H)(C),23
CdN-(H)(Cd),20
C-(H)2(N)(CO),-21
C-(H)(C)(N)(CO),-12
C-(H)2(O)(CN),105
C-(H)2(C)(CN),-21
C-(H)2(Cd)(CN),-23
CB-(CN),35
Ct-(CN),123
CN-(C),115
CN-(Cd),115
CN-(CB),115
CN-(Ct),115
Cd-(Cd)(CN),166
C-(C)(H)2(NO2),-25
C-(C)2(H)(NO2),-25
CB-NO2,20
N-(H)2(C),18
N-(H)(C)2,65
N-(C)3,102
N-(H)2(CB),-11
N-(H)2(Cd),0
N-(H)(Cd)2,19
N-(H)(Cd)(C),41
N-(CO)(H)2,-60
N-(CO)(C)(H),-20
N-(CO)(C)2,17
NI-(H),64
NI-(CB)2,79
NI-(C),96
NI-(Cd),98
O-(NI),-12
CO-(H)(N),-128
CO-(C)(N),-136
CO-(CB)(N),-128
NC-(C),210
ONO-(C),-25
NO2-(C),-35
NO2-(CB),-25
