CHO Benson Group Increment,CHO Values
C-(H)3(O),-42
C-(H)2(O)(C),-33
C-(H)2(O)(Cd),-29
C-(H)2(O)(CB),-26
C-(H)2(O)(Ct),-23
C-(H)(O)(C)2,-26
C-(H)(O)(Cd)2,-21
C-(O)(C)3,-21
C-(H)2(O)2,-67
C-(H)(O)2(C),-65
C-(O)2(C)2,-48
C-(O)3(H),-108
C-(O)3(C),-105
C-(O)4,-162
Cd-(O)(H),36
Cd-(O)(C),43
Cd-(O)(Cd),37
Cd-(O)(Ct),37
CB-(O),25
Ct-(O),180
Cd-(O)(CO),49
O-(H)2,-242
O-(H)(C),-159
O-(H)(Cd),-190
O-(H)(CB),-190
O-(H)(Ct),-201
O-(C)2,-99
O-(C)(Cd),-124
O-(C)(CB),-124
O-(C)(Ct),-141
O-(Ct)(Cd),-150
O-(Cd)2,-137
O-(CB)2,-136
CO-(H)2,-109
CO-(H)(C),-123
CO-(H)(Cd),-113
CO-(H)(Ct),-107
CO-(H)(CB),-122
CO-(C)2,-133
CO-(C)(Cd),-123
CO-(C)(CB),-130
CO-(C)(Ct),-113
CO-(Cd)2,-113
CO-(CB)2,-118
CO-(Callene),-40
C-(H)3(CO),-42
C-(H)2(CO)(C),-22
C-(H)2(CO)(Cd),-16
C-(H)2(CO)(CB),-11
C-(H)2(CO)(Ct),-9
C-(H)(CO)(C)2,-4
C-(H)(CO)(Cd)2,-12
C-(CO)(C)3,9
C-(H)2(CO)2,-10
C-(H)2(O)(CO),-29
Cd-(CO)(H),21
Cd-(CO)(C),31
Cd-(CO)(Cd),38
CB-(CO),18
Ct-(CO),120
O-(H)(O),-69
O-(C)(O),-24
O-(H)(CO),-243
O-(C)(CO),-180
O-(O)(CO),-80
O-(Cd)(CO),-187
O-(CB)(CO),-182
O-(CO)2,-202
CO-(H)(O),-134
CO-(C)(O),-147
CO-(Cd)(O),-134
CO-(Ct)(O),-115
CO-(CB)(O),-143
CO-(H)(CO),-106
CO-(C)(CO),-121
CO-(CB)(CO),-110
CO-(O)2,-129
CO-(O)(CO),-123
[COd]-Cd(H)2,-78
[COd]-Cd(C)(H),-58
[COd]-Cd(C)2,-47
[COd]-Cd(Cd),-50
