CH Benson Group Increment,Delta_Hf kJ/mol,CHO Benson Group Increment,CHO Values,Correction,Correction Values,CHNO benson increments,CHNO benson value in kJ/mol,Group on cyclohexane,A-values in kJ/mol
C-(C)(H)3,-42,C-(H)3(O),-42,Gauche alkane,3.4,C-(H)3(N),-42,D,0.03
C-(C)2(H)2,-20.9,C-(H)2(O)(C),-33,Ortho correction,2.5,C-(H)2(C)(N),-23,F,1.05-1.76
C-(C)3(H),-7,C-(H)2(O)(Cd),-29,cis correction,4,C-(H)(C)2(N),-18,Cl,2.22-2.68
C-(C)4,2,C-(H)2(O)(CB),-26,cis (one tert-butyl),17,C-(C)3(N),-13,Br,2.01-2.80
Cd-(H)2,26.2,C-(H)2(O)(Ct),-23,cis (two tert-butyl),44,C-(H)2(CB)(N),-26,I,1.97-2.55
Cd-(C)(H),35.8,C-(H)(O)(C)2,-26,cyclopropane,118,C-(H)(C)(CB)(N),-15,OH,2.51-4.35
Cd-(C)2,42.6,C-(H)(O)(Cd)2,-21,cyclobutane,111,C-(C)2(CB)(N),-6,OCH3,2.30-3.14
Cd-(Cd)(H),28.4,C-(O)(C)3,-21,cyclopentane,28,Cd-(H)(N),36,OC6H5,2.72
Cd-(Cd)(C),36.7,C-(H)2(O)2,-67,cyclohexane,2,Cd-(C)(N),41,OCOCH3,2.85-3.64
Cd-(Cd)2,53,C-(H)(O)2(C),-65,cycloheptane,28,CB-(N),25,OSi(CH3)3,3.1
Cd-(Ct)(H),36,C-(O)2(C)2,-48,cyclooctane,43,CB-(NI)(H),10,NH2,5.15-7.11
Cd-(Ct)(C),40,C-(O)3(H),-108,cyclononane,56,CB-(NI)(CB),15,N(CH3)2,6.28-8.79
Cd-(CB)(H),28,C-(O)3(C),-105,cyclodecane,55,CB-(NI)(C),12,NO2,4.6
Cd-(CB)(C),36,C-(O)4,-162,cycloundecane,51,CB-(NI)(O),-18,SH,5.06
Cd-(CB)2,50,Cd-(O)(H),36,cyclododecane,21,CB-(NI)(N),1,SO2CH3,10.46
Ct-(H),113,Cd-(O)(C),43,cyclopropene,225,CB-(NI)(CO),7,CH3,7.28
Ct-(C),115,Cd-(O)(Cd),37,cyclobutene,125,CdN-(H)2,28,C2H5,7.49
Ct-(Cd),126,Cd-(O)(Ct),37,cyclopentene,25,CdN-(C)2,22,CH(CH3)2,9.25
Ct-(Ct),118,CB-(O),25,cyclohexene,5,CdN-(H)(C),23,C(CH3)3,19.66-20.50
Ct-(CB) + CB-(Ct),125,Ct-(O),180,cycloheptene,22,CdN-(H)(Cd),20,CF3,10.04-10.46
CB-(H),13.8,Cd-(O)(CO),49,cyclooctene (cis),25,C-(H)2(N)(CO),-21,C6H5,11.72
CB-(C),23,O-(H)2,-242,cyclooctene (trans),64,C-(H)(C)(N)(CO),-12,C6H11,9.2
CB-(Cd),27,O-(H)(C),-159,cyclononene (cis),41,C-(H)2(O)(CN),105,CH2Br,7.49
CB-(CB),21,O-(H)(Cd),-190,cyclononene (trans),54,C-(H)2(C)(CN),-21,Si(CH3)3,10.46
C(allene),141,O-(H)(CB),-190,,,C-(H)2(Cd)(CN),-23,CH=CH2,6.28-7.11
Cis- (one t-butyl),4,O-(H)(Ct),-201,,,CB-(CN),35,CHO,2.34-3.35
Cis- (two t-butyl),17,O-(C)2,-99,,,Ct-(CN),123,COCH3,4.18-6.28
C-(Cd)(H)3,-42,O-(C)(Cd),-124,,,CN-(C),115,CO2-,8.37
C-(Cd)(C)(H)2,-20.1,O-(C)(CB),-124,,,CN-(Cd),115,CO2H,5.86
C-(Cd)2(H)2,-18,O-(C)(Ct),-141,,,CN-(CB),115,CO2CH3,5.02-5.44
C-(Cd)(C)2(H),-7,O-(Ct)(Cd),-150,,,CN-(Ct),115,,
C-(Cd)2(C)(H),-7,O-(Cd)2,-137,,,Cd-(Cd)(CN),166,,
C-(Cd)(C)3,6,O-(CB)2,-136,,,C-(C)(H)2(NO2),-25,,
C-(Ct)(C)(H)2,-20,CO-(H)2,-109,,,C-(C)2(H)(NO2),-25,,
C-(Ct)(C)2(H),-6.5,CO-(H)(C),-123,,,CB-NO2,20,,
C-(Ct)(C)3,5.5,CO-(H)(Cd),-113,,,N-(H)2(C),18,,
C-(CB)(H)3,-42,CO-(H)(Ct),-107,,,N-(H)(C)2,65,,
C-(CB)(C)(H)2,-20,CO-(H)(CB),-122,,,N-(C)3,102,,
C-(CB)(C)2(H),-4,CO-(C)2,-133,,,N-(H)2(CB),-11,,
C-(CB)(C)3,11,CO-(C)(Cd),-123,,,N-(H)2(Cd),0,,
C-(CB)2(H)2,-20,CO-(C)(CB),-130,,,N-(H)(Cd)2,19,,
C-(CB)3(H),-4,CO-(C)(Ct),-113,,,N-(H)(Cd)(C),41,,
C-(CB)4,31,CO-(Cd)2,-113,,,N-(CO)(H)2,-60,,
C-(Cd)(CB)(H)2,-18,CO-(CB)2,-118,,,N-(CO)(C)(H),-20,,
,,CO-(Callene),-40,,,N-(CO)(C)2,17,,
,,C-(H)3(CO),-42,,,NI-(H),64,,
,,C-(H)2(CO)(C),-22,,,NI-(CB)2,79,,
,,C-(H)2(CO)(Cd),-16,,,NI-(C),96,,
,,C-(H)2(CO)(CB),-11,,,NI-(Cd),98,,
,,C-(H)2(CO)(Ct),-9,,,O-(NI),-12,,
,,C-(H)(CO)(C)2,-4,,,CO-(H)(N),-128,,
,,C-(H)(CO)(Cd)2,-12,,,CO-(C)(N),-136,,
,,C-(CO)(C)3,9,,,CO-(CB)(N),-128,,
,,C-(H)2(CO)2,-10,,,NC-(C),210,,
,,C-(H)2(O)(CO),-29,,,ONO-(C),-25,,
,,Cd-(CO)(H),21,,,NO2-(C),-35,,
,,Cd-(CO)(C),31,,,NO2-(CB),-25,,
,,Cd-(CO)(Cd),38,,,,,,
,,CB-(CO),18,,,,,,
,,Ct-(CO),120,,,,,,
,,O-(H)(O),-69,,,,,,
,,O-(C)(O),-24,,,,,,
,,O-(H)(CO),-243,,,,,,
,,O-(C)(CO),-180,,,,,,
,,O-(O)(CO),-80,,,,,,
,,O-(Cd)(CO),-187,,,,,,
,,O-(CB)(CO),-182,,,,,,
,,O-(CO)2,-202,,,,,,
,,CO-(H)(O),-134,,,,,,
,,CO-(C)(O),-147,,,,,,
,,CO-(Cd)(O),-134,,,,,,
,,CO-(Ct)(O),-115,,,,,,
,,CO-(CB)(O),-143,,,,,,
,,CO-(H)(CO),-106,,,,,,
,,CO-(C)(CO),-121,,,,,,
,,CO-(CB)(CO),-110,,,,,,
,,CO-(O)2,-129,,,,,,
,,CO-(O)(CO),-123,,,,,,
,,[COd]-Cd(H)2,-78,,,,,,
,,[COd]-Cd(C)(H),-58,,,,,,
,,[COd]-Cd(C)2,-47,,,,,,
,,[COd]-Cd(Cd),-50,,,,,,
