CH Benson Group Increment,Delta_Hf kJ/mol,CHO Benson Group Increment,CHO Values,Correction,Correction Values
C-(C)(H)3,-42,C-(H)3(O),-42,Gauche alkane,3.4
C-(C)2(H)2,-20.9,C-(H)2(O)(C),-33,Ortho correction,2.5
C-(C)3(H),-7,C-(H)2(O)(Cd),-29,cis correction,4
C-(C)4,2,C-(H)2(O)(CB),-26,cis (one tert-butyl),17
Cd-(H)2,26.2,C-(H)2(O)(Ct),-23,cis (two tert-butyl),44
Cd-(C)(H),35.8,C-(H)(O)(C)2,-26,cyclopropane,118
Cd-(C)2,42.6,C-(H)(O)(Cd)2,-21,cyclobutane,111
Cd-(Cd)(H),28.4,C-(O)(C)3,-21,cyclopentane,28
Cd-(Cd)(C),36.7,C-(H)2(O)2,-67,cyclohexane,2
Cd-(Cd)2,53,C-(H)(O)2(C),-65,cycloheptane,28
Cd-(Ct)(H),36,C-(O)2(C)2,-48,cyclooctane,43
Cd-(Ct)(C),40,C-(O)3(H),-108,cyclononane,56
Cd-(CB)(H),28,C-(O)3(C),-105,cyclodecane,55
Cd-(CB)(C),36,C-(O)4,-162,cycloundecane,51
Cd-(CB)2,50,Cd-(O)(H),36,cyclododecane,21
Ct-(H),113,Cd-(O)(C),43,cyclopropene,225
Ct-(C),115,Cd-(O)(Cd),37,cyclobutene,125
Ct-(Cd),126,Cd-(O)(Ct),37,cyclopentene,25
Ct-(Ct),118,CB-(O),25,cyclohexene,5
Ct-(CB) + CB-(Ct),125,Ct-(O),180,cycloheptene,22
CB-(H),13.8,Cd-(O)(CO),49,cyclooctene (cis),25
CB-(C),23,O-(H)2,-242,cyclooctene (trans),64
CB-(Cd),27,O-(H)(C),-159,cyclononene (cis),41
CB-(CB),21,O-(H)(Cd),-190,cyclononene (trans),54
C(allene),141,O-(H)(CB),-190,,
Cis- (one t-butyl),4,O-(H)(Ct),-201,,
Cis- (two t-butyl),17,O-(C)2,-99,,
C-(Cd)(H)3,-42,O-(C)(Cd),-124,,
C-(Cd)(C)(H)2,-20.1,O-(C)(CB),-124,,
C-(Cd)2(H)2,-18,O-(C)(Ct),-141,,
C-(Cd)(C)2(H),-7,O-(Ct)(Cd),-150,,
C-(Cd)2(C)(H),-7,O-(Cd)2,-137,,
C-(Cd)(C)3,6,O-(CB)2,-136,,
C-(Ct)(C)(H)2,-20,CO-(H)2,-109,,
C-(Ct)(C)2(H),-6.5,CO-(H)(C),-123,,
C-(Ct)(C)3,5.5,CO-(H)(Cd),-113,,
C-(CB)(H)3,-42,CO-(H)(Ct),-107,,
C-(CB)(C)(H)2,-20,CO-(H)(CB),-122,,
C-(CB)(C)2(H),-4,CO-(C)2,-133,,
C-(CB)(C)3,11,CO-(C)(Cd),-123,,
C-(CB)2(H)2,-20,CO-(C)(CB),-130,,
C-(CB)3(H),-4,CO-(C)(Ct),-113,,
C-(CB)4,31,CO-(Cd)2,-113,,
C-(Cd)(CB)(H)2,-18,CO-(CB)2,-118,,
,,CO-(Callene),-40,,
,,C-(H)3(CO),-42,,
,,C-(H)2(CO)(C),-22,,
,,C-(H)2(CO)(Cd),-16,,
,,C-(H)2(CO)(CB),-11,,
,,C-(H)2(CO)(Ct),-9,,
,,C-(H)(CO)(C)2,-4,,
,,C-(H)(CO)(Cd)2,-12,,
,,C-(CO)(C)3,9,,
,,C-(H)2(CO)2,-10,,
,,C-(H)2(O)(CO),-29,,
,,Cd-(CO)(H),21,,
,,Cd-(CO)(C),31,,
,,Cd-(CO)(Cd),38,,
,,CB-(CO),18,,
,,Ct-(CO),120,,
,,O-(H)(O),-69,,
,,O-(C)(O),-24,,
,,O-(H)(CO),-243,,
,,O-(C)(CO),-180,,
,,O-(O)(CO),-80,,
,,O-(Cd)(CO),-187,,
,,O-(CB)(CO),-182,,
,,O-(CO)2,-202,,
,,CO-(H)(O),-134,,
,,CO-(C)(O),-147,,
,,CO-(Cd)(O),-134,,
,,CO-(Ct)(O),-115,,
,,CO-(CB)(O),-143,,
,,CO-(H)(CO),-106,,
,,CO-(C)(CO),-121,,
,,CO-(CB)(CO),-110,,
,,CO-(O)2,-129,,
,,CO-(O)(CO),-123,,
,,[COd]-Cd(H)2,-78,,
,,[COd]-Cd(C)(H),-58,,
,,[COd]-Cd(C)2,-47,,
,,[COd]-Cd(Cd),-50,,
